Client_Name,Manufacturer,Category,Registration_Date,Local_Agent,Expiry_Date,Product_Name,Product_Category
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"Bharat Parenterals Limited - 144 & 146, Jarod Samlaya Road Vill. Haripura, Ta. Savli, Dist. Vadodara – 391520, Gujarat, India",Drugs,03/05/2024,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",31/12/2026,NOVACEF 750,Drugs and Nutraceuticals
PHARMANOVA LIMITED NO 3 OKODAN STREET OSU MANHEAN ACCRA GHANA,"Bharat Parenterals Limited - 144 & 146, Jarod Samlaya Road Vill. Haripura, Ta. Savli, Dist. Vadodara – 391520, Gujarat, India",Drugs,03/05/2024,"PHARMANOVA LIMITED; P.O.BOX AT 579, ACHIMOTA ACCRA",01/02/2027,NOVACEF 250,Drugs and Nutraceuticals
"KORLYNS PHARMACEUTICALS (GH) LIMITED, P.O.BOX MD 166 MADINA ACCRA GHANA","Fresenius Kabi Austria GmbH - Hafnerstrabhe 36,8055 Graz, Austria",DRUGS,20/04/2023,"KORLYNS PHARMACEUTICALS (GH) LIMITED, P.O.BOX MD 166 MADINA ACCRA GHANA",01/05/2026,SUSPENSION  ( Lactulose 3.3g/5ml),Drugs and Nutraceuticals
RESOURCE ETHICA KENYA LIMITED; JADALA PLACE 3RD FLOOR NGONG LANE NAIROBI KENYA,"Sanofi Winthrop Industrie,  - 30-36, Avenue Gustave Eiffel 37100 Tours, , France",Drugs,10/07/2023,Gokals Laborex Limited - 7 Barnes Road/Farrar Avenue P.O.Box GP 623 Accra,01/08/2026,TELFAST TABLET 120,Drugs and Nutraceuticals
UNICHEM INDUSTRIES LIMITED,"UNICHEM INDUSTRIES LIMITED, P.O.BOX 15146 ACCRA",Drugs,30/08/2021,"UNICHEM INDUSTRIES LIMITED, P.O.BOX 15146 ACCRA",01/09/2026,WORMALEX TABLETS,Drugs and Nutraceuticals
"MSD(PTY) LIMITED, PRIVATE BAG 3 HALFWAY HOUSE MIDRAND 1685, SOUTH AFRICA",MSD INTERNATIONAL GMHB,Drugs,01/03/2024,"WORLDWIDE HEALTHCARE LIMITED; AMENFI PLAZA PLOT 53, TEMA-MOTORWAY INDUSTRIAL AREA, SPINTEX ROAD, ACCRA-GHANA",01/02/2027,INEGY 10/10 TABLETS,Drugs and Nutraceuticals
Ernest Chemist Limited,ERNEST CHEMIST LIMITED; P.O.BOX 3345 ACCRA,Drugs,19/11/2021,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/12/2026,NESTER MOUTHWASH FRESH MINT,Drugs and Nutraceuticals
SKANT HEALTHCARE LIMITED 31 SHIV SAGAR ESTATE NORTH WING DR ANNIE BESANT ROAD WORLI MUMBAI 400018  INDIA,SKANT HEALTHCARE LIMITED,Drugs,13/07/2023,"PHILLIPS PHARMACEUTICALS LIMITED, PLOT NO 251-A, OSHIMPA STREET NEAR LIGHTHOUSE CHURCH, NORTH KANESHIE INDUSTRIAL AREA, ACCRA",01/06/2026,SUPYRA DISPERSIBLE TABLETS,Drugs and Nutraceuticals
LETAP PHRAMCEUTICALS LIMITED P.O BOX GP 3346,LETAP PHARMACEUTICALS LIMITED,Drugs,02/02/2024,"LETAP PHARMACEUTICALS LIMITED; P.O.BOX 3346 PLOT 107, GRAPHIC ROAD ACCRA, GHANA",01/08/2029,FDA/SD.195-6438,Drugs and Nutraceuticals
"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA","ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",Drugs,29/10/2021,"ENTRANCE PHARMACEUTICALS & RESEARCH CENTRE, P.O.BOX CT 10805 ACCRA",01/11/2026,AMUROX 250 TABLET,Drugs and Nutraceuticals
